run,total_flights,newly_infected,total_infected
1,192,13,119
2,53,0,50
3,285,22,148
4,137,8,111
5,197,13,125
6,150,9,99
7,103,5,81
8,54,0,52
9,59,0,61
10,57,0,56
11,56,0,55
12,56,0,57
13,249,18,141
14,220,16,129
15,248,18,133
16,83,3,76
17,220,16,136
18,95,4,79
19,59,0,56
20,58,0,51
21,56,0,57
22,55,0,54
23,85,3,73
24,58,0,53
25,57,0,57
26,57,0,59
27,54,0,56
28,56,0,55
29,56,0,58
30,57,0,57
31,54,0,51
32,56,0,53
33,262,19,138
34,56,0,54
35,179,12,124
36,104,5,91
37,55,0,50
38,57,0,53
39,54,0,56
40,58,0,55
41,57,0,57
42,57,0,54
43,56,0,52
44,57,0,60
45,57,0,54
46,56,0,56
47,57,0,49
48,56,0,55
49,108,5,84
50,84,3,70
51,55,0,53
52,55,0,55
53,56,0,48
54,215,16,135
55,58,0,52
56,55,0,55
57,59,0,60
58,230,18,133
59,58,0,53
60,55,0,52
61,252,19,140
62,55,0,54
63,56,0,53
64,55,0,54
65,56,0,60
66,58,0,56
67,208,14,131
68,136,8,104
69,184,12,125
70,55,0,52
71,57,0,54
72,273,21,142
73,253,19,145
74,212,15,130
75,216,16,140
76,57,0,56
77,85,3,74
78,58,0,57
79,89,4,80
80,219,15,131
81,92,4,79
82,294,23,147
83,54,0,55
84,55,0,52
85,266,20,136
86,54,0,49
87,58,0,57
88,102,4,87
89,130,7,96
90,54,0,49
91,251,18,143
92,251,19,136
93,58,0,57
94,56,0,53
95,57,0,56
96,219,15,131
97,55,0,54
98,54,0,55
99,102,5,82
100,188,13,127
101,59,0,56
102,59,0,58
103,232,17,137
104,57,0,51
105,59,0,57
106,57,0,57
107,56,0,59
108,84,3,82
109,93,4,76
110,124,7,95
111,97,4,81
112,54,0,54
113,123,6,91
114,258,19,130
115,157,9,114
116,58,0,55
117,59,0,61
118,53,0,54
119,95,4,84
120,214,15,129
121,56,0,60
122,55,0,55
123,53,0,49
124,88,3,78
125,278,22,145
126,54,0,53
127,54,0,56
128,172,11,119
129,53,0,54
130,232,17,136
131,58,0,54
132,225,16,131
133,114,6,92
134,57,0,54
135,57,0,55
136,274,21,133
137,115,5,92
138,56,0,56
139,55,0,56
140,161,10,112
141,57,0,56
142,56,0,54
143,56,0,49
144,163,10,111
145,84,3,71
146,55,0,51
147,89,4,79
148,57,0,53
149,60,0,54
150,152,9,106
151,53,0,51
152,55,0,50
153,227,16,134
154,87,3,78
155,275,21,139
156,195,13,119
157,58,0,54
158,55,0,53
159,58,0,56
160,58,0,52
161,142,8,107
162,58,0,59
163,56,0,63
164,233,17,140
165,204,14,130
166,86,3,67
167,204,14,124
168,267,20,146
169,58,0,58
170,99,5,86
171,264,21,140
172,163,10,118
173,53,0,54
174,269,20,143
175,82,3,72
176,121,6,98
177,59,0,55
178,231,17,134
179,132,7,92
180,57,0,57
181,92,4,77
182,57,0,54
183,57,0,53
184,57,0,56
185,82,3,77
186,75,2,70
187,74,2,74
188,57,0,53
189,56,0,57
190,189,13,124
191,54,0,53
192,59,0,57
193,56,0,53
194,61,0,54
195,59,0,58
196,76,2,66
197,57,0,53
198,56,0,53
199,53,0,56
200,59,0,57
201,53,0,48
202,91,4,83
203,134,7,101
204,288,22,144
205,56,0,53
206,101,5,78
207,55,0,52
208,200,13,126
209,53,0,51
210,193,13,126
211,58,0,57
212,55,0,54
213,56,0,53
214,57,0,57
215,56,0,53
216,104,5,89
217,55,0,55
218,57,0,56
219,56,0,54
220,59,0,53
221,57,0,59
222,264,20,144
223,224,16,125
224,88,3,78
225,244,18,133
226,58,0,57
227,153,9,112
228,265,20,138
229,269,21,145
230,58,0,58
231,210,16,131
232,58,0,53
233,95,4,80
234,181,12,112
235,58,0,55
236,58,0,55
237,56,0,52
238,54,0,57
239,192,13,126
240,57,0,52
241,96,4,79
242,53,0,49
243,56,0,59
244,266,20,145
245,55,0,54
246,57,0,55
247,59,0,60
248,59,0,57
249,56,0,53
250,271,20,144
251,267,21,148
252,257,19,147
253,57,0,60
254,111,5,86
255,55,0,57
256,86,3,73
257,57,0,52
258,55,0,57
259,56,0,49
260,146,9,104
261,138,8,97
262,57,0,57
263,57,0,62
264,56,0,53
265,59,0,56
266,94,4,81
267,59,0,54
268,78,2,75
269,118,6,99
270,58,0,57
271,58,0,57
272,57,0,53
273,99,4,88
274,100,4,85
275,55,0,51
276,59,0,55
277,269,20,145
278,54,0,60
279,57,0,56
280,246,18,136
281,54,0,50
282,253,19,141
283,62,0,60
284,196,14,119
285,60,0,56
286,54,0,52
287,256,19,141
288,236,17,135
289,55,0,54
290,236,16,140
291,54,0,56
292,57,0,55
293,55,0,54
294,107,5,82
295,56,0,51
296,97,4,76
297,55,0,54
298,58,0,55
299,232,17,137
300,57,0,57
301,59,0,56
302,57,0,55
303,58,0,56
304,104,4,82
305,102,5,87
306,60,0,59
307,59,0,60
308,106,5,87
309,106,5,90
310,57,0,54
311,102,5,93
312,87,3,73
313,238,17,144
314,58,0,58
315,202,15,126
316,58,0,52
317,77,2,73
318,55,0,55
319,58,0,57
320,57,0,58
321,54,0,52
322,91,4,79
323,57,0,56
324,216,15,123
325,130,7,97
326,193,13,125
327,243,18,139
328,56,0,51
329,55,0,51
330,59,0,59
331,119,6,92
332,94,4,86
333,211,15,131
334,73,2,67
335,54,0,53
336,58,0,54
337,57,0,57
338,285,22,148
339,171,11,117
340,59,0,60
341,232,17,138
342,52,0,54
343,98,4,86
344,56,0,52
345,58,0,55
346,155,9,108
347,57,0,58
348,55,0,54
349,101,5,81
350,55,0,59
351,93,3,79
352,82,3,71
353,226,16,130
354,265,20,141
355,94,3,78
356,56,0,51
357,60,0,57
358,59,0,56
359,212,15,134
360,56,0,53
361,56,0,57
362,57,0,55
363,53,0,53
364,52,0,47
365,59,0,57
366,59,0,59
367,56,0,58
368,169,11,118
369,58,0,54
370,101,5,84
371,207,14,124
372,58,0,56
373,58,0,59
374,282,21,147
375,121,6,94
376,54,0,52
377,55,0,51
378,53,0,52
379,158,10,114
380,54,0,51
381,55,0,55
382,216,15,129
383,297,23,147
384,56,0,52
385,173,11,117
386,57,0,59
387,165,10,110
388,190,13,123
389,56,0,54
390,58,0,54
391,159,10,115
392,58,0,55
393,98,4,79
394,58,0,55
395,100,5,87
396,54,0,51
397,181,12,123
398,95,4,77
399,57,0,55
400,106,5,93
401,54,0,52
402,101,5,85
403,92,4,83
404,193,13,119
405,245,18,147
406,56,0,53
407,56,0,56
408,55,0,51
409,76,2,76
410,58,0,53
411,178,11,115
412,118,6,87
413,87,3,74
414,57,0,48
415,192,13,115
416,94,4,82
417,55,0,52
418,55,0,49
419,133,8,104
420,59,0,57
421,58,0,49
422,277,21,146
423,56,0,55
424,57,0,54
425,140,8,97
426,59,0,56
427,57,0,56
428,59,0,58
429,289,23,152
430,54,0,52
431,58,0,56
432,57,0,56
433,185,12,125
434,62,0,63
435,135,7,101
436,100,5,88
437,56,0,51
438,55,0,48
439,96,4,88
440,55,0,50
441,98,4,85
442,275,21,155
443,94,4,86
444,57,0,56
445,55,0,56
446,139,7,100
447,55,0,51
448,112,5,98
449,56,0,53
450,301,24,151
451,167,11,116
452,56,0,54
453,57,0,51
454,57,0,55
455,54,0,52
456,250,19,141
457,58,0,61
458,59,0,55
459,223,15,130
460,89,3,80
461,57,0,54
462,58,0,57
463,201,14,133
464,93,4,79
465,58,0,56
466,56,0,52
467,283,22,152
468,58,0,57
469,52,0,51
470,59,0,58
471,264,19,138
472,54,0,51
473,57,0,51
474,57,0,57
475,58,0,54
476,99,5,76
477,183,12,120
478,56,0,56
479,58,0,61
480,55,0,57
481,98,4,81
482,60,0,58
483,97,4,83
484,256,19,145
485,81,3,73
486,58,0,57
487,109,5,85
488,271,20,144
489,228,16,136
